query_type,victim_model,method_key,method_original,n_score,score_mean,score_ci_low,score_ci_high,n_refusal,refusal_mean,refusal_ci_low,refusal_ci_high,n,query_type_display,method_display,Score,Refusal
stem,gemini-2.5-flash,flipattack,flipattack,156,0.772,0.704,0.834,156,0.212,0.147,0.276,156,Knowledge,FlipAttack,"0.772 [0.704, 0.834]","0.212 [0.147, 0.276]"
stem,gemini-2.5-flash,our_baseline,Our_baseline,156,0.72,0.651,0.788,156,0.276,0.205,0.346,156,Knowledge,Our_baseline,"0.720 [0.651, 0.788]","0.276 [0.205, 0.346]"
stem,gemini-2.5-flash,pap,PAP,156,0.575,0.498,0.651,156,0.423,0.346,0.5,156,Knowledge,PAP,"0.575 [0.498, 0.651]","0.423 [0.346, 0.500]"
stem,gemini-2.5-flash,pap_authority_endorsement,PAP_Authority endorsement,156,0.241,0.175,0.312,156,0.756,0.686,0.821,156,Knowledge,PAP_Authority endorsement,"0.241 [0.175, 0.312]","0.756 [0.686, 0.821]"
stem,gemini-2.5-flash,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.273,0.204,0.345,156,0.724,0.654,0.795,156,Knowledge,PAP_Evidence-based Persuasion,"0.273 [0.204, 0.345]","0.724 [0.654, 0.795]"
stem,gemini-2.5-flash,pap_expert_endorsement,PAP_Expert Endorsement,156,0.263,0.192,0.333,156,0.737,0.667,0.808,156,Knowledge,PAP_Expert Endorsement,"0.263 [0.192, 0.333]","0.737 [0.667, 0.808]"
stem,gemini-2.5-flash,pap_logical_appeal,PAP_Logical appeal,156,0.256,0.186,0.327,156,0.744,0.673,0.814,156,Knowledge,PAP_Logical appeal,"0.256 [0.186, 0.327]","0.744 [0.673, 0.814]"
stem,gemini-2.5-flash,pap_misrepresentation,PAP_Misrepresentation,156,0.223,0.159,0.288,156,0.776,0.712,0.84,156,Knowledge,PAP_Misrepresentation,"0.223 [0.159, 0.288]","0.776 [0.712, 0.840]"
stem,gemini-2.5-flash,sql_responses,SQL_responses,156,0.741,0.684,0.794,156,0.16,0.103,0.218,156,Knowledge,SQL_responses,"0.741 [0.684, 0.794]","0.160 [0.103, 0.218]"
stem,gemini-2.5-flash,cipher,cipher,156,0.683,0.617,0.747,156,0.25,0.186,0.321,156,Knowledge,cipher,"0.683 [0.617, 0.747]","0.250 [0.186, 0.321]"
stem,gpt-4o,flipattack,flipattack,156,0.796,0.736,0.853,156,0.173,0.115,0.237,156,Knowledge,FlipAttack,"0.796 [0.736, 0.853]","0.173 [0.115, 0.237]"
stem,gpt-4o,our_baseline,Our_baseline,156,0.758,0.696,0.816,156,0.186,0.128,0.25,156,Knowledge,Our_baseline,"0.758 [0.696, 0.816]","0.186 [0.128, 0.250]"
stem,gpt-4o,pap,PAP,156,0.618,0.543,0.693,156,0.365,0.295,0.442,156,Knowledge,PAP,"0.618 [0.543, 0.693]","0.365 [0.295, 0.442]"
stem,gpt-4o,pap_authority_endorsement,PAP_Authority endorsement,156,0.254,0.189,0.322,156,0.737,0.667,0.808,156,Knowledge,PAP_Authority endorsement,"0.254 [0.189, 0.322]","0.737 [0.667, 0.808]"
stem,gpt-4o,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.228,0.166,0.293,156,0.763,0.692,0.827,156,Knowledge,PAP_Evidence-based Persuasion,"0.228 [0.166, 0.293]","0.763 [0.692, 0.827]"
stem,gpt-4o,pap_expert_endorsement,PAP_Expert Endorsement,156,0.302,0.232,0.373,156,0.686,0.609,0.756,156,Knowledge,PAP_Expert Endorsement,"0.302 [0.232, 0.373]","0.686 [0.609, 0.756]"
stem,gpt-4o,pap_logical_appeal,PAP_Logical appeal,156,0.379,0.304,0.454,156,0.615,0.538,0.692,156,Knowledge,PAP_Logical appeal,"0.379 [0.304, 0.454]","0.615 [0.538, 0.692]"
stem,gpt-4o,pap_misrepresentation,PAP_Misrepresentation,156,0.385,0.311,0.462,156,0.603,0.526,0.679,156,Knowledge,PAP_Misrepresentation,"0.385 [0.311, 0.462]","0.603 [0.526, 0.679]"
stem,gpt-4o,sql_responses,SQL_responses,156,0.347,0.276,0.418,156,0.622,0.545,0.699,156,Knowledge,SQL_responses,"0.347 [0.276, 0.418]","0.622 [0.545, 0.699]"
stem,gpt-4o,cipher,cipher,156,0.361,0.289,0.43,156,0.596,0.519,0.673,156,Knowledge,cipher,"0.361 [0.289, 0.430]","0.596 [0.519, 0.673]"
stem,gpt-5.1,flipattack,flipattack,156,0.019,0.0,0.045,156,0.981,0.955,1.0,156,Knowledge,FlipAttack,"0.019 [0.000, 0.045]","0.981 [0.955, 1.000]"
stem,gpt-5.1,our_baseline,Our_baseline,156,0.454,0.377,0.53,156,0.538,0.462,0.615,156,Knowledge,Our_baseline,"0.454 [0.377, 0.530]","0.538 [0.462, 0.615]"
stem,gpt-5.1,pap,PAP,156,0.539,0.462,0.617,156,0.455,0.378,0.532,156,Knowledge,PAP,"0.539 [0.462, 0.617]","0.455 [0.378, 0.532]"
stem,gpt-5.1,pap_authority_endorsement,PAP_Authority endorsement,156,0.122,0.071,0.173,156,0.878,0.827,0.929,156,Knowledge,PAP_Authority endorsement,"0.122 [0.071, 0.173]","0.878 [0.827, 0.929]"
stem,gpt-5.1,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.21,0.147,0.274,156,0.788,0.724,0.853,156,Knowledge,PAP_Evidence-based Persuasion,"0.210 [0.147, 0.274]","0.788 [0.724, 0.853]"
stem,gpt-5.1,pap_expert_endorsement,PAP_Expert Endorsement,156,0.214,0.151,0.277,156,0.782,0.718,0.846,156,Knowledge,PAP_Expert Endorsement,"0.214 [0.151, 0.277]","0.782 [0.718, 0.846]"
stem,gpt-5.1,pap_logical_appeal,PAP_Logical appeal,156,0.182,0.125,0.244,156,0.814,0.75,0.872,156,Knowledge,PAP_Logical appeal,"0.182 [0.125, 0.244]","0.814 [0.750, 0.872]"
stem,gpt-5.1,pap_misrepresentation,PAP_Misrepresentation,156,0.286,0.216,0.357,156,0.712,0.641,0.782,156,Knowledge,PAP_Misrepresentation,"0.286 [0.216, 0.357]","0.712 [0.641, 0.782]"
stem,gpt-5.1,sql_responses,SQL_responses,156,0.035,0.011,0.065,156,0.962,0.929,0.987,156,Knowledge,SQL_responses,"0.035 [0.011, 0.065]","0.962 [0.929, 0.987]"
stem,gpt-5.1,cipher,cipher,156,0.0,0.0,0.0,156,1.0,1.0,1.0,156,Knowledge,cipher,"0.000 [0.000, 0.000]","1.000 [1.000, 1.000]"
stem,llama-4,flipattack,flipattack,156,0.514,0.446,0.579,156,0.378,0.301,0.455,156,Knowledge,FlipAttack,"0.514 [0.446, 0.579]","0.378 [0.301, 0.455]"
stem,llama-4,our_baseline,Our_baseline,156,0.725,0.658,0.788,156,0.231,0.167,0.295,156,Knowledge,Our_baseline,"0.725 [0.658, 0.788]","0.231 [0.167, 0.295]"
stem,llama-4,pap,PAP,156,0.843,0.788,0.894,156,0.135,0.083,0.192,156,Knowledge,PAP,"0.843 [0.788, 0.894]","0.135 [0.083, 0.192]"
stem,llama-4,pap_authority_endorsement,PAP_Authority endorsement,156,0.414,0.341,0.49,156,0.564,0.487,0.641,156,Knowledge,PAP_Authority endorsement,"0.414 [0.341, 0.490]","0.564 [0.487, 0.641]"
stem,llama-4,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.329,0.261,0.4,156,0.654,0.577,0.731,156,Knowledge,PAP_Evidence-based Persuasion,"0.329 [0.261, 0.400]","0.654 [0.577, 0.731]"
stem,llama-4,pap_expert_endorsement,PAP_Expert Endorsement,156,0.402,0.328,0.478,156,0.583,0.506,0.66,156,Knowledge,PAP_Expert Endorsement,"0.402 [0.328, 0.478]","0.583 [0.506, 0.660]"
stem,llama-4,pap_logical_appeal,PAP_Logical appeal,156,0.508,0.433,0.583,156,0.468,0.391,0.545,156,Knowledge,PAP_Logical appeal,"0.508 [0.433, 0.583]","0.468 [0.391, 0.545]"
stem,llama-4,pap_misrepresentation,PAP_Misrepresentation,156,0.516,0.442,0.591,156,0.455,0.378,0.532,156,Knowledge,PAP_Misrepresentation,"0.516 [0.442, 0.591]","0.455 [0.378, 0.532]"
stem,llama-4,sql_responses,SQL_responses,156,0.329,0.263,0.397,156,0.615,0.538,0.692,156,Knowledge,SQL_responses,"0.329 [0.263, 0.397]","0.615 [0.538, 0.692]"
stem,llama-4,cipher,cipher,156,0.0,0.0,0.0,156,1.0,1.0,1.0,156,Knowledge,cipher,"0.000 [0.000, 0.000]","1.000 [1.000, 1.000]"
stem,qwen3-next,flipattack,flipattack,156,0.012,0.002,0.029,156,0.962,0.929,0.987,156,Knowledge,FlipAttack,"0.012 [0.002, 0.029]","0.962 [0.929, 0.987]"
stem,qwen3-next,our_baseline,Our_baseline,156,0.626,0.55,0.701,156,0.372,0.295,0.449,156,Knowledge,Our_baseline,"0.626 [0.550, 0.701]","0.372 [0.295, 0.449]"
stem,qwen3-next,pap,PAP,156,0.544,0.467,0.622,156,0.455,0.378,0.532,156,Knowledge,PAP,"0.544 [0.467, 0.622]","0.455 [0.378, 0.532]"
stem,qwen3-next,pap_authority_endorsement,PAP_Authority endorsement,156,0.152,0.101,0.21,156,0.846,0.788,0.897,156,Knowledge,PAP_Authority endorsement,"0.152 [0.101, 0.210]","0.846 [0.788, 0.897]"
stem,qwen3-next,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,156,0.228,0.165,0.296,156,0.769,0.699,0.833,156,Knowledge,PAP_Evidence-based Persuasion,"0.228 [0.165, 0.296]","0.769 [0.699, 0.833]"
stem,qwen3-next,pap_expert_endorsement,PAP_Expert Endorsement,156,0.249,0.183,0.319,156,0.75,0.679,0.814,156,Knowledge,PAP_Expert Endorsement,"0.249 [0.183, 0.319]","0.750 [0.679, 0.814]"
stem,qwen3-next,pap_logical_appeal,PAP_Logical appeal,156,0.205,0.141,0.269,156,0.795,0.731,0.859,156,Knowledge,PAP_Logical appeal,"0.205 [0.141, 0.269]","0.795 [0.731, 0.859]"
stem,qwen3-next,pap_misrepresentation,PAP_Misrepresentation,156,0.268,0.199,0.339,156,0.731,0.66,0.801,156,Knowledge,PAP_Misrepresentation,"0.268 [0.199, 0.339]","0.731 [0.660, 0.801]"
stem,qwen3-next,sql_responses,SQL_responses,156,0.88,0.829,0.925,156,0.109,0.064,0.16,156,Knowledge,SQL_responses,"0.880 [0.829, 0.925]","0.109 [0.064, 0.160]"
stem,qwen3-next,cipher,cipher,156,0.608,0.532,0.681,156,0.365,0.288,0.442,156,Knowledge,cipher,"0.608 [0.532, 0.681]","0.365 [0.288, 0.442]"
value,gemini-2.5-flash,flipattack,flipattack,159,0.814,0.752,0.871,159,0.145,0.094,0.201,159,Viewpoint,FlipAttack,"0.814 [0.752, 0.871]","0.145 [0.094, 0.201]"
value,gemini-2.5-flash,pap,PAP,159,0.612,0.535,0.687,159,0.384,0.308,0.459,159,Viewpoint,PAP,"0.612 [0.535, 0.687]","0.384 [0.308, 0.459]"
value,gemini-2.5-flash,pap_authority_endorsement,PAP_Authority endorsement,159,0.132,0.082,0.189,159,0.868,0.811,0.918,159,Viewpoint,PAP_Authority endorsement,"0.132 [0.082, 0.189]","0.868 [0.811, 0.918]"
value,gemini-2.5-flash,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,159,0.192,0.134,0.254,159,0.805,0.742,0.862,159,Viewpoint,PAP_Evidence-based Persuasion,"0.192 [0.134, 0.254]","0.805 [0.742, 0.862]"
value,gemini-2.5-flash,pap_expert_endorsement,PAP_Expert Endorsement,159,0.21,0.149,0.273,159,0.786,0.723,0.849,159,Viewpoint,PAP_Expert Endorsement,"0.210 [0.149, 0.273]","0.786 [0.723, 0.849]"
value,gemini-2.5-flash,pap_logical_appeal,PAP_Logical appeal,159,0.218,0.156,0.285,159,0.78,0.717,0.843,159,Viewpoint,PAP_Logical appeal,"0.218 [0.156, 0.285]","0.780 [0.717, 0.843]"
value,gemini-2.5-flash,pap_misrepresentation,PAP_Misrepresentation,159,0.302,0.231,0.372,159,0.692,0.616,0.761,159,Viewpoint,PAP_Misrepresentation,"0.302 [0.231, 0.372]","0.692 [0.616, 0.761]"
value,gemini-2.5-flash,sql_responses,SQL_responses,159,0.795,0.752,0.833,159,0.063,0.025,0.101,159,Viewpoint,SQL_responses,"0.795 [0.752, 0.833]","0.063 [0.025, 0.101]"
value,gemini-2.5-flash,cipher,cipher,159,0.708,0.643,0.768,159,0.22,0.157,0.289,159,Viewpoint,cipher,"0.708 [0.643, 0.768]","0.220 [0.157, 0.289]"
value,gpt-4o,flipattack,flipattack,159,0.73,0.676,0.781,159,0.145,0.094,0.201,159,Viewpoint,FlipAttack,"0.730 [0.676, 0.781]","0.145 [0.094, 0.201]"
value,gpt-4o,pap,PAP,159,0.764,0.698,0.829,159,0.226,0.164,0.296,159,Viewpoint,PAP,"0.764 [0.698, 0.829]","0.226 [0.164, 0.296]"
value,gpt-4o,pap_authority_endorsement,PAP_Authority endorsement,159,0.241,0.178,0.306,159,0.742,0.673,0.811,159,Viewpoint,PAP_Authority endorsement,"0.241 [0.178, 0.306]","0.742 [0.673, 0.811]"
value,gpt-4o,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,159,0.256,0.192,0.322,159,0.736,0.667,0.805,159,Viewpoint,PAP_Evidence-based Persuasion,"0.256 [0.192, 0.322]","0.736 [0.667, 0.805]"
value,gpt-4o,pap_expert_endorsement,PAP_Expert Endorsement,159,0.29,0.223,0.36,159,0.686,0.616,0.755,159,Viewpoint,PAP_Expert Endorsement,"0.290 [0.223, 0.360]","0.686 [0.616, 0.755]"
value,gpt-4o,pap_logical_appeal,PAP_Logical appeal,159,0.409,0.337,0.484,159,0.579,0.503,0.654,159,Viewpoint,PAP_Logical appeal,"0.409 [0.337, 0.484]","0.579 [0.503, 0.654]"
value,gpt-4o,pap_misrepresentation,PAP_Misrepresentation,159,0.436,0.362,0.513,159,0.547,0.472,0.623,159,Viewpoint,PAP_Misrepresentation,"0.436 [0.362, 0.513]","0.547 [0.472, 0.623]"
value,gpt-4o,sql_responses,SQL_responses,159,0.453,0.382,0.523,159,0.484,0.409,0.56,159,Viewpoint,SQL_responses,"0.453 [0.382, 0.523]","0.484 [0.409, 0.560]"
value,gpt-4o,cipher,cipher,159,0.425,0.355,0.494,159,0.516,0.44,0.591,159,Viewpoint,cipher,"0.425 [0.355, 0.494]","0.516 [0.440, 0.591]"
value,gpt-5.1,flipattack,flipattack,159,0.063,0.025,0.101,159,0.937,0.899,0.975,159,Viewpoint,FlipAttack,"0.063 [0.025, 0.101]","0.937 [0.899, 0.975]"
value,gpt-5.1,pap,PAP,159,0.57,0.493,0.645,159,0.415,0.34,0.497,159,Viewpoint,PAP,"0.570 [0.493, 0.645]","0.415 [0.340, 0.497]"
value,gpt-5.1,pap_authority_endorsement,PAP_Authority endorsement,159,0.112,0.067,0.164,159,0.887,0.836,0.931,159,Viewpoint,PAP_Authority endorsement,"0.112 [0.067, 0.164]","0.887 [0.836, 0.931]"
value,gpt-5.1,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,159,0.178,0.121,0.24,159,0.818,0.755,0.874,159,Viewpoint,PAP_Evidence-based Persuasion,"0.178 [0.121, 0.240]","0.818 [0.755, 0.874]"
value,gpt-5.1,pap_expert_endorsement,PAP_Expert Endorsement,159,0.198,0.14,0.259,159,0.792,0.73,0.855,159,Viewpoint,PAP_Expert Endorsement,"0.198 [0.140, 0.259]","0.792 [0.730, 0.855]"
value,gpt-5.1,pap_logical_appeal,PAP_Logical appeal,159,0.199,0.138,0.261,159,0.799,0.736,0.862,159,Viewpoint,PAP_Logical appeal,"0.199 [0.138, 0.261]","0.799 [0.736, 0.862]"
value,gpt-5.1,pap_misrepresentation,PAP_Misrepresentation,159,0.322,0.251,0.393,159,0.667,0.591,0.736,159,Viewpoint,PAP_Misrepresentation,"0.322 [0.251, 0.393]","0.667 [0.591, 0.736]"
value,gpt-5.1,sql_responses,SQL_responses,159,0.063,0.031,0.101,159,0.937,0.899,0.975,159,Viewpoint,SQL_responses,"0.063 [0.031, 0.101]","0.937 [0.899, 0.975]"
value,gpt-5.1,cipher,cipher,159,0.038,0.013,0.069,159,0.962,0.931,0.987,159,Viewpoint,cipher,"0.038 [0.013, 0.069]","0.962 [0.931, 0.987]"
value,llama-4,flipattack,flipattack,159,0.263,0.207,0.324,159,0.642,0.566,0.717,159,Viewpoint,FlipAttack,"0.263 [0.207, 0.324]","0.642 [0.566, 0.717]"
value,llama-4,pap,PAP,159,0.73,0.664,0.792,159,0.239,0.176,0.308,159,Viewpoint,PAP,"0.730 [0.664, 0.792]","0.239 [0.176, 0.308]"
value,llama-4,pap_authority_endorsement,PAP_Authority endorsement,159,0.251,0.187,0.316,159,0.736,0.667,0.805,159,Viewpoint,PAP_Authority endorsement,"0.251 [0.187, 0.316]","0.736 [0.667, 0.805]"
value,llama-4,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,159,0.22,0.16,0.284,159,0.761,0.692,0.824,159,Viewpoint,PAP_Evidence-based Persuasion,"0.220 [0.160, 0.284]","0.761 [0.692, 0.824]"
value,llama-4,pap_expert_endorsement,PAP_Expert Endorsement,159,0.247,0.185,0.313,159,0.73,0.66,0.799,159,Viewpoint,PAP_Expert Endorsement,"0.247 [0.185, 0.313]","0.730 [0.660, 0.799]"
value,llama-4,pap_logical_appeal,PAP_Logical appeal,159,0.342,0.27,0.417,159,0.648,0.572,0.723,159,Viewpoint,PAP_Logical appeal,"0.342 [0.270, 0.417]","0.648 [0.572, 0.723]"
value,llama-4,pap_misrepresentation,PAP_Misrepresentation,159,0.426,0.353,0.501,159,0.541,0.465,0.616,159,Viewpoint,PAP_Misrepresentation,"0.426 [0.353, 0.501]","0.541 [0.465, 0.616]"
value,llama-4,sql_responses,SQL_responses,159,0.34,0.273,0.409,159,0.61,0.535,0.686,159,Viewpoint,SQL_responses,"0.340 [0.273, 0.409]","0.610 [0.535, 0.686]"
value,llama-4,cipher,cipher,159,0.006,0.0,0.019,159,0.994,0.981,1.0,159,Viewpoint,cipher,"0.006 [0.000, 0.019]","0.994 [0.981, 1.000]"
value,qwen3-next,flipattack,flipattack,159,0.075,0.042,0.112,159,0.868,0.811,0.918,159,Viewpoint,FlipAttack,"0.075 [0.042, 0.112]","0.868 [0.811, 0.918]"
value,qwen3-next,pap,PAP,159,0.466,0.388,0.544,159,0.528,0.453,0.604,159,Viewpoint,PAP,"0.466 [0.388, 0.544]","0.528 [0.453, 0.604]"
value,qwen3-next,pap_authority_endorsement,PAP_Authority endorsement,159,0.075,0.038,0.119,159,0.925,0.881,0.962,159,Viewpoint,PAP_Authority endorsement,"0.075 [0.038, 0.119]","0.925 [0.881, 0.962]"
value,qwen3-next,pap_evidence_based_persuasion,PAP_Evidence-based Persuasion,159,0.129,0.082,0.186,159,0.868,0.811,0.918,159,Viewpoint,PAP_Evidence-based Persuasion,"0.129 [0.082, 0.186]","0.868 [0.811, 0.918]"
value,qwen3-next,pap_expert_endorsement,PAP_Expert Endorsement,159,0.101,0.057,0.151,159,0.899,0.849,0.943,159,Viewpoint,PAP_Expert Endorsement,"0.101 [0.057, 0.151]","0.899 [0.849, 0.943]"
value,qwen3-next,pap_logical_appeal,PAP_Logical appeal,159,0.149,0.097,0.204,159,0.849,0.792,0.899,159,Viewpoint,PAP_Logical appeal,"0.149 [0.097, 0.204]","0.849 [0.792, 0.899]"
value,qwen3-next,pap_misrepresentation,PAP_Misrepresentation,159,0.248,0.183,0.316,159,0.748,0.679,0.811,159,Viewpoint,PAP_Misrepresentation,"0.248 [0.183, 0.316]","0.748 [0.679, 0.811]"
value,qwen3-next,sql_responses,SQL_responses,159,0.926,0.892,0.956,159,0.038,0.013,0.069,159,Viewpoint,SQL_responses,"0.926 [0.892, 0.956]","0.038 [0.013, 0.069]"
value,qwen3-next,cipher,cipher,159,0.524,0.451,0.599,159,0.453,0.377,0.535,159,Viewpoint,cipher,"0.524 [0.451, 0.599]","0.453 [0.377, 0.535]"
